ID,Distance mm,
1111,65.297,48.426
1112,62.242,47.034
1113,64.146,51.001
1114,59.862,46.202
1115,65.219,47.512
1116,63.678,47.653
1121,61.961,48.617
1122,63.491,48.001
1123,62.565,47.147
1124,62.311,47.091
1125,66.055,47.612
1126,64.193,49.14
1131,65.467,50.406
1132,65.346,49.488
1133,64.289,49.34
1134,63.148,48.758
1135,62.504,49.319
1136,64.313,47.722
1141,64.22,47.807
1142,63.68,49.843
1143,61.189,47.859
1144,65.319,47.07
1145,63.662,47.993
1146,63.45,48.564
1151,66.706,48.955
1152,61.377,50.401
1153,66.063,50.098
1154,67.259,48.42
1155,64.631,48.93
1156,58.905,45.999
1161,62.189,47.803
1162,64.536,48.419
1163,62.971,48.107
1164,62.089,47.187
1165,61.057,48.393
1166,61.227,47.211
1211,65.963,50.2
1212,66.562,51.102
1213,65.818,48.358
1214,65.417,49.313
1215,62.236,48.611
1216,63.82,47.351
1221,67.164,49.429
1222,64.381,47.416
1223,64.06,49.562
1224,64.637,48.904
1225,63.896,47.842
1226,64.245,48.912
1231,67.089,47.628
1232,64.562,47.804
1233,69.188,50.179
1234,64.822,47.435
1235,63.74,49.052
1236,64.452,47.4
1241,66.854,49.039
1242,64.376,47.956
1243,62.836,46.855
1244,65.169,48.575
1245,59.433,45.617
1246,63.267,48.012
1251,62.119,47.099
1252,62.976,47.58
1253,63.411,49.04
1254,63.029,46.755
1255,64.826,47.323
1256,64.355,47.782
1261,61.252,46.625
1262,61.699,46.317
1263,64.402,47.863
1264,61.892,48.842
1265,65.961,46.56
1266,60.591,47.944
1311,63.857,48.134
1312,63.385,48.032
1313,62.55,47.683
1314,65.959,49.853
1315,64.256,47.752
1316,64.609,46.282
1321,64.796,49.8
1322,60.582,48.104
1323,62.886,48.132
1324,63.196,48.257
1325,65.395,48.912
1326,67.969,50.309
1331,64.353,49.087
1332,59.601,47.055
1333,65.339,49.034
1334,64.412,47.82
1335,62.24,48.445
1336,65.484,48.642
1341,65.369,50.763
1342,61.783,47.725
1343,67.619,46.75
1344,64.634,48.985
1345,66.791,49.638
1346,61.089,48.118
1351,60.777,46.866
1352,65.283,48.431
1353,66.449,48.322
1354,66.587,49.134
1355,64.3,49.132
1356,59.787,46.599
1361,62.23,49.294
1362,67.002,47.798
1363,64.519,47.156
1364,63.862,48.625
1365,61.109,48.314
1366,62.899,51.116
2111,62.613,48.551
2112,61.41,48.859
2113,63.993,48.441
2114,63.794,49.247
2115,62.435,48.12
2116,66.308,49.436
2121,64.408,50.39
2122,62.516,48.537
2123,63.562,48.165
2124,67.476,48.184
2125,63.977,49.297
2126,59.741,47.526
2131,64.317,48.146
2132,66.66,49.431
2133,61.092,48.332
2134,62.51,47.485
2135,63.236,48.849
2136,64.585,48.113
2141,62.283,49.388
2142,62.955,49.037
2143,61.643,46.787
2144,64.195,48.123
2145,66.919,50.509
2146,64.244,47.213
2151,63.87,47.015
2152,65.575,48.841
2153,63.508,49.385
2154,66.992,50.304
2155,64.979,47.364
2156,64.544,46.779
2161,62.675,48.442
2162,66.395,50.445
2163,62.141,47.048
2164,67.329,48.54
2165,61.259,47.351
2166,66.076,48.593
2211,64.958,49.954
2212,62.151,48.485
2213,64.625,48.248
2214,63.016,48.067
2215,65.564,48.099
2216,64.053,47.355
2221,60.727,47.108
2222,63.737,48.741
2223,62.919,46.072
2224,63.647,47.569
2225,68.342,48.944
2226,63.696,48.624
2231,60.853,49.253
2232,64.912,47.867
2233,61.761,47.692
2234,62.332,46.859
2235,62.484,47.779
2236,64.517,47.263
2241,61.383,46.171
2242,65.841,49.401
2243,66.067,49.569
2244,62.788,47.404
2245,65.58,49.122
2246,60.928,47.222
2251,61.59,49.365
2252,65.168,48.868
2253,63.762,47.523
2254,63.336,45.862
2255,61.052,47.324
2256,65.025,48.317
2261,63.565,47.74
2262,64.82,47.437
2263,63.678,47.883
2264,63.053,50.526
2265,64.535,48.77
2266,63.489,47.24
