ID,length,imagepath-length,width,imagepath-width,label,L-length,T-length,A-length,E-length,L-width,T-width,A-width,E-width,weight-pre1,weight-pre2,weight-day1,weight-day2,weight-day3,weight-day4,weight-day5,weight-day6
1111,60.42,200630_052003_0000000190_CAM2_OK.bmp,46.598,200630_052008_0000000191_CAM2_OK.bmp,F,1.039276896,0.765558834,0.039276896,0.306235336,1.044896296,0.769924241,0.044896296,0.298829088,53.662,,53.078,52.72,,,,
1112,62.926,200630_052129_0000000192_CAM2_OK.bmp,46.65,200630_052133_0000000193_CAM2_OK.bmp,M,1.091703444,0.738523372,0.091703444,0.354053289,1.100967191,0.742236355,0.100967191,0.347279735,56.094,,55.647,55.368,,,,
1113,65.545,200630_052158_0000000194_CAM2_OK.bmp,47.543,200630_052203_0000000195_CAM2_OK.bmp,Not fertile,1.119694911,0.717144747,0.119694911,0.394418635,1.115169974,0.720103972,0.115169974,0.388688355,59.476,,58.932,58.589,,,,
1114,62.113,200630_052231_0000000196_CAM2_OK.bmp,47.746,200630_052236_0000000197_CAM2_OK.bmp,F,1.068241643,0.762896053,0.068241643,0.310794565,1.056596604,0.766578165,0.056596604,0.304498414,57.315,,56.809,56.493,,,,
1115,60.932,200630_052259_0000000198_CAM2_OK.bmp,45.77,200630_052304_0000000199_CAM2_OK.bmp,F,1.088259803,0.746555674,0.088259803,0.339484831,1.079604218,0.748530251,0.079604218,0.335951351,52.197,,51.601,51.236,,,,
1116,64.649,200630_052345_0000000200_CAM2_OK.bmp,47.372,200630_052402_0000000201_CAM2_OK.bmp,Not fertile,1.055884867,0.725669601,0.055884867,0.378037606,1.042330695,0.726443446,0.042330695,0.37656965,58.078,,57.54,57.225,,,,
1121,65.984,200630_052522_0000000202_CAM2_OK.bmp,46.955,200630_052529_0000000203_CAM2_OK.bmp,F,1.08212335,0.711370683,0.08212335,0.405736873,1.075267784,0.713822167,0.075267784,0.400909142,59.681,,59.084,58.719,,,,
1122,63.678,200630_052624_0000000204_CAM2_OK.bmp,49.285,200630_052629_0000000205_CAM2_OK.bmp,F,1.063480352,0.767426355,0.063480352,0.303056631,1.065204721,0.770734576,0.065204721,0.297463526,61.054,,60.451,60.079,,,,
1123,62.214,200630_052706_0000000206_CAM2_OK.bmp,46.446,200630_052712_0000000207_CAM2_OK.bmp,F,1.079218265,0.743128785,0.079218265,0.345661774,1.083125934,0.743742967,0.083125934,0.34455053,54.856,,54.374,54.077,,,,
1124,62.352,200630_052748_0000000208_CAM2_OK.bmp,47.283,200630_052754_0000000209_CAM2_OK.bmp,F,1.122754473,0.747768377,0.122754473,0.337312503,1.114533428,0.752384711,0.114533428,0.329107285,55.918,,55.326,54.967,,,,
1125,61.85,200630_052829_0000000210_CAM2_OK.bmp,48.499,200630_052835_0000000211_CAM2_OK.bmp,F,1.117238675,0.758477099,0.117238675,0.318431369,1.110772352,0.764210789,0.110772352,0.308539495,60,,59.436,59.089,,,,
1126,63.798,200630_052920_0000000212_CAM2_OK.bmp,48.502,200630_052926_0000000213_CAM2_OK.bmp,M,1.098335598,0.732665497,0.098335598,0.36487934,1.105916985,0.737112826,0.105916985,0.356644418,62.293,,61.805,61.519,,,,
1131,63.426,200630_053126_0000000214_CAM2_OK.bmp,47.768,200630_053133_0000000215_CAM2_OK.bmp,M,1.039395121,0.746903493,0.039395121,0.338861057,1.041146959,0.750345754,0.041146959,0.332718943,58.181,,57.668,57.35,,,,
