ID,length,imagepath-length,width,imagepath-width,label,L-length,T-length,A-length,E-length,L-width,T-width,A-width,E-width,weight-day1,weight-day2,round
1111,64.086,200620_055117_0000000011_CAM2_OK.bmp,47.317,200620_055129_0000000012_CAM2_OK.bmp,M,1.138512081,0.707219563,0.138512081,0.413988035,1.127173545,0.715601799,0.127173545,0.397425219,58.826,58.434,3
1112,69.633,200620_055203_0000000013_CAM2_OK.bmp,50.663,200620_055213_0000000014_CAM2_OK.bmp,F,1.137646652,0.70906686,0.137646652,0.410304241,1.114151152,0.719894329,0.114151152,0.38909276,55.821,55.454,3
1113,64.015,200620_055226_0000000015_CAM2_OK.bmp,49.161,200620_055233_0000000016_CAM2_OK.bmp,F,1.056527095,0.764057134,0.056527095,0.308802648,1.048536625,0.767829587,0.048536625,0.302372319,61.198,60.837,3
1114,65.063,200620_055259_0000000017_CAM2_OK.bmp,50.988,200620_055305_0000000018_CAM2_OK.bmp,M,1.082032785,0.773417595,0.082032785,0.292962569,1.082131567,0.777904793,0.082131567,0.285504357,65.271,64.912,3
1115,65.331,200620_055323_0000000019_CAM2_OK.bmp,50.357,200620_055328_0000000020_CAM2_OK.bmp,M,1.101669537,0.760430562,0.101669537,0.315044462,1.097941672,0.765562984,0.097941672,0.306228254,58.355,58.029,3
1116,64.131,200620_055342_0000000021_CAM2_OK.bmp,48.629,200620_055350_0000000022_CAM2_OK.bmp,F,1.066563437,0.750533956,0.066563437,0.332384754,1.064860056,0.752562594,0.064860056,0.328793124,61.303,60.918,3
1121,61.392,200620_055417_0000000023_CAM2_OK.bmp,48.507,200620_055423_0000000024_CAM2_OK.bmp,M,1.079958579,0.783730501,0.079958579,0.275948809,1.080541664,0.787569122,0.080541664,0.269729821,56.827,56.458,3
1122,65.004,200620_055505_0000000025_CAM2_OK.bmp,47.612,200620_055511_0000000026_CAM2_OK.bmp,M,1.11167583,0.727407458,0.11167583,0.374745322,1.111150507,0.73283012,0.111150507,0.364572734,57.572,57.165,3
1123,64.055,200620_055524_0000000027_CAM2_OK.bmp,48.462,200620_055528_0000000028_CAM2_OK.bmp,M,1.109696767,0.745980415,0.109696767,0.340517767,1.114743959,0.748785268,0.114743959,0.33549636,56.421,56.128,3
1124,62.983,200620_055559_0000000029_CAM2_OK.bmp,48.295,200620_055604_0000000030_CAM2_OK.bmp,M,1.068196213,0.762402709,0.068196213,0.311642768,1.080932446,0.767929377,0.080932446,0.30220308,58.809,58.446,3
1125,67.672,200620_055622_0000000031_CAM2_OK.bmp,48.039,200620_055626_0000000032_CAM2_OK.bmp,F,1.137596668,0.723014946,0.137596668,0.383097274,1.066287839,0.734714531,0.066287839,0.361072849,61.397,61.074,3
1126,63.07,200620_055647_0000000033_CAM2_OK.bmp,47.937,200620_055651_0000000034_CAM2_OK.bmp,M,1.090206438,0.760095121,0.090206438,0.315624811,1.077122678,0.763136737,0.077122678,0.310381156,57.864,57.502,3
1131,62.807,200620_055718_0000000035_CAM2_OK.bmp,47.718,200620_055723_0000000036_CAM2_OK.bmp,M,1.098977362,0.749219666,0.098977362,0.334722039,1.098732903,0.751657982,0.098732903,0.330392312,57.818,57.405,3
1132,65.594,200620_055734_0000000037_CAM2_OK.bmp,48.792,200620_055738_0000000038_CAM2_OK.bmp,M,1.053592348,0.737892897,0.053592348,0.355210226,1.055798152,0.741232915,0.055798152,0.349103607,55.71,55.354,3
1133,61.874,200620_055747_0000000039_CAM2_OK.bmp,48.328,200620_055752_0000000040_CAM2_OK.bmp,M,1.137697035,0.738568816,0.137697035,0.353969974,1.128542051,0.74540899,0.128542051,0.341545398,58.602,58.242,3
1134,65.069,200620_055813_0000000041_CAM2_OK.bmp,49.11,200620_055818_0000000042_CAM2_OK.bmp,Not fertile,1.151188888,0.739686015,0.151188888,0.351924979,1.118888677,0.748196345,0.118888677,0.336547561,59.604,59.267,3
1135,62.108,200620_055842_0000000043_CAM2_OK.bmp,49.574,200620_055847_0000000044_CAM2_OK.bmp,M,1.054169435,0.793270539,0.054169435,0.260603982,1.02233128,0.799138778,0.02233128,0.251347109,58.987,58.651,3
1136,65.513,200620_055859_0000000045_CAM2_OK.bmp,49.542,200620_055904_0000000046_CAM2_OK.bmp,M,1.073395844,0.753489266,0.073395844,0.32715892,1.061851149,0.757393483,0.061851149,0.320317672,58.125,57.782,3
1141,63.438,200620_055924_0000000047_CAM2_OK.bmp,48.367,200620_055930_0000000048_CAM2_OK.bmp,M,1.112497,0.757026733,0.112497,0.320957314,1.102181911,0.761147255,0.102181911,0.313806223,60.639,60.249,3
1142,63.212,200620_055940_0000000049_CAM2_OK.bmp,43.963,200620_055944_0000000050_CAM2_OK.bmp,F,1.086641472,0.736543632,0.086641472,0.357692818,1.104367229,0.742130121,0.104367229,0.347472596,57.337,56.913,3
1143,62.006,200620_055956_0000000051_CAM2_OK.bmp,47.23,200620_060002_0000000052_CAM2_OK.bmp,Not fertile,1.10348931,0.754170932,0.10348931,0.325959351,1.1235416,0.759425495,0.1235416,0.316784868,59.804,59.433,3
