ID,Distance mm,,Label
1111,60.42,46.598,F
1112,62.926,46.65,M
1113,65.545,47.543,Not fertile
1114,62.113,47.746,F
1115,60.932,45.77,F
1116,64.649,47.372,Not fertile
1121,65.984,46.955,F
1122,63.678,49.285,F
1123,62.214,46.446,F
1124,62.352,47.283,F
1125,61.85,48.499,F
1126,63.798,48.502,M
1131,63.426,47.768,M
1132,62.98,46.866,F
1133,60.153,44.431,M
1134,64.088,46.879,M
1135,61.791,45.664,M
1136,62.551,47.809,M
1141,63.982,44.896,M
1142,65.359,49.068,M
1143,61.393,45.226,F
1144,60.626,46.938,F
1145,60.817,47.422,M
1146,61.655,47.189,M
1151,62.671,47.389,M
1152,61.303,48.46,F
1153,62.694,46.743,M
1154,65.73,46.923,F
1155,60.764,46.71,F
1156,59.599,46.345,F
1161,62.888,46.591,F
1162,63.297,45.707,F
1163,61.089,46.974,NR
1164,61.507,47.727,M
1165,59.975,45.974,M
1166,60.748,48.142,F
1211,62.651,46.564,Not fertile
1212,62.622,47.724,M
1213,61.322,47.395,F
1214,60.327,47.224,F
1215,58.992,47.741,M
1216,63.841,47.422,M
1221,62.009,46.183,M
1222,62.127,47.269,F
1223,61.063,48.564,F
1224,62.041,48.155,NR
1225,60.072,48.663,F
1226,61.258,44.762,Not fertile
1231,62.771,49.884,F
1232,63.972,47.608,NR
1233,63.197,48.378,M
1234,63.513,48.463,F
1235,65.656,48.097,M
1236,61.515,46.48,M
1241,60.513,47.654,M
1243,64.387,48.544,M
1244,64.73,46.92,M
1245,63.86,48.856,F
1246,61.057,45.043,M
1251,62.829,48.259,M
1252,64.169,46.754,M
1253,62.968,48.285,F
1254,63.76,48.68,M
1255,63.698,46.985,M
1256,48.289,64.093,error
1261,62.885,45.832,F
1262,61.908,45.392,F
1263,62.907,47.109,M
1264,63.027,48.308,M
1265,60.759,46.235,M
1266,65.935,46.773,M
1311,62.552,46.584,F
1312,60.058,44.348,M
1313,64.002,46.62,M
1314,61.394,46.046,M
1315,64.689,46.987,F
1316,64.183,49.512,Not fertile
1321,60.745,44.786,F
1322,64.007,47.524,M
1323,63.336,48.744,M
1324,63.646,47.93,M
1325,59.807,45.363,M
1326,64.463,46.076,NR
1331,63.953,48.288,M
1332,60.702,46.023,M
1333,57.705,46.152,F
1334,62.831,48.137,M
1335,61.67,47.974,M
1336,60.78,46.534,M
1341,62.129,47.194,M
1342,64.855,45.384,F
1343,63.628,48.815,M
1344,65.03,46.807,F
1345,64.466,46.03,Not fertile
1346,60.572,47.807,M
1351,58.479,46.093,F
1352,64.004,47.506,Not fertile
1353,63.293,48.119,M
1354,63.192,46.001,M
1355,62.7,46.196,F
1356,60.379,46.084,Not fertile
1361,65.278,47.334,M
1362,64.412,48.048,F
1363,65.08,48.859,Not fertile
1364,62.902,47.679,F
1365,63.96,48.898,F
1366,64.877,48.457,F
2111,63.942,48.593,Not fertile
2112,57.721,46.026,M
2113,60.251,47.268,F
2114,59.633,46.049,F
2115,61.231,47.917,M
2116,61.019,46.135,M
2121,64.552,49.755,F
2122,61.93,47.373,M
2123,62.858,48.271,M
2124,61.246,46.005,
2125,59.493,46.112,
2126,60.646,46.076,
2131,61.156,48.698,
2132,67.471,46.063,
2133,61.062,46.225,
2134,62.798,46.231,
2135,61.515,44.736,
2136,60.062,46.356,
2142,61.931,48.708,M
2143,62.844,46.957,F
2144,61.843,46.103,M
2145,62.383,46.816,M
2146,57.875,48.082,F
2151,64.195,48.673,M
2152,61.636,47.435,M
2153,61.571,46.074,F
2154,61.26,45.731,M
2155,62.55,46.266,F
2156,64.273,48.657,M
2161,66.068,50.234,F
2162,62.213,47.5,M
2163,63.317,45.954,F
2164,61.519,45.148,Not fertile
2165,64.232,48.429,NR
2166,65.64,48.669,F
2211,60.532,46.776,M
2212,62.136,46.533,F
2213,61.21,46.364,M
2214,62.795,46.681,M
2215,65.15,49.526,F
2216,62.122,47.677,M
2221,63.35,48.894,M
2222,62.266,49.893,M
2223,60.13,45.543,M
2224,65.203,48.423,M
2225,63.451,47.801,F
2226,65.953,49.201,F
2231,62.252,46.126,F
2232,63.842,46.609,F
2233,63.003,46.418,F
2234,63.58,48.236,M
2235,63.435,47.29,M
2236,62.951,48.889,M
2241,58.666,48.724,F
2242,60.848,45.844,F
2243,64.435,48.373,M
2244,63.469,47.664,M
2245,64.391,48.228,Not fertile
2246,63.278,48.354,Not fertile
2251,64.875,47.311,F
2252,61.568,46.483,M
2253,61.634,45.786,M
2254,65.686,49.108,M
2255,62.374,46.997,Not fertile
2256,63.375,47.503,M
2261,62.229,48.79,M
2262,64.302,48.715,F
2263,62.544,47.801,F
2264,60.988,46.144,M
2265,64.897,45.336,M
2266,62.77,47.472,F
1111,64.086,47.317,M
1112,69.633,50.663,F
1113,64.015,49.161,F
1114,65.063,50.988,M
1115,65.331,50.357,M
1116,64.131,48.629,F
1121,61.392,48.507,M
1122,65.004,47.612,M
1123,64.055,48.462,M
1124,62.983,48.295,M
1125,67.672,48.039,F
1126,63.07,47.937,M
1131,62.807,47.718,M
1132,65.594,48.792,M
1133,61.874,48.328,M
1134,65.069,49.11,Not fertile
1135,62.108,49.574,M
1136,65.513,49.542,M
1141,63.438,48.367,M
1142,63.212,43.963,F
1143,62.006,47.23,Not fertile
1144,63.299,45.321,M
1145,59.908,48.551,M
1146,60.378,49.169,M
1151,63.114,48.263,M
1152,63.163,46.534,Not fertile
1153,64.082,47.717,M
1154,61.783,47.022,M
1155,60.379,49.004,M
1156,68.884,47.944,F
1161,66.115,49.543,M
1162,65.577,48.293,M
1163,63.406,48.752,No result
1164,60.564,46.617,F
1165,63.528,49.202,M
1166,63.658,47.376,No result
1211,61.951,47.755,F
1212,65.133,45.943,M
1213,63.472,43.612,M
1214,65.122,48.377,F
1215,60.515,46.176,F
1216,66.682,48.475,M
1221,63.679,47.711,M
1222,66.008,49.381,M
1223,64.585,48.055,M
1224,63.498,46.35,F
1225,65.414,48.116,M
1226,67.886,50.435,F
1231,64.876,47.959,F
1232,64.994,47.375,M
1233,63.969,48.605,M
1234,63.708,48.352,F
1235,62.869,48.435,M
1236,62.306,48.948,M
1241,63.816,49.011,M
1242,62.804,47.631,M
1243,62.77,48.916,F
1244,65.329,47.395,F
1245,65.34,47.516,M
1246,58.802,47.971,M
1251,65.356,46.97,F
1252,64.35,49.253,M
1253,66.266,47.381,Not fertile
1254,65.256,50.529,M
1255,63.714,46.994,Not fertile
1256,61.625,47.613,M
1261,65.417,47.808,M
1262,63.742,45.985,F
1263,64.213,49.277,M
1264,63.446,48.155,M
1265,64.769,45.214,F
1266,64.577,48.44,F
1311,61.52,47.169,M
1312,63.242,47.818,M
1313,61.374,48.738,M
1314,61.11,46.747,F
1315,61.803,49.063,F
1316,65.628,49.238,M
1321,61.755,47.905,F
1322,62.259,49.319,M
1323,62.365,43.209,M
1324,65.897,48.608,F
1325,61.604,47.604,F
1326,65.14,48.654,M
1331,63.891,47.64,M
1332,63.978,46.253,M
1333,63.324,43.346,F
1334,63.619,48.652,Not fertile
1335,64.615,49.711,M
1336,61.062,46.225,F
1341,62.179,49.157,Not fertile
1342,60.913,48.137,M
1343,65.672,48.648,M
1344,61.867,47.397,M
1345,59.035,46.399,F
1346,62.108,45.371,M
1351,62.401,48.769,F
1352,63.913,48.245,F
1353,65.006,48.865,F
1354,63.424,48.331,M
1355,64.397,51.119,M
1356,60.913,47.082,M
1361,62.785,49.453,M
1362,65.211,47.464,M
1363,62.559,47.627,F
1364,63.921,46.337,M
1365,60.377,48.864,F
1366,65.065,48.953,F
2111,62.225,47.054,M
2112,66.809,49.556,M
2113,65.654,49.382,M
2114,65.758,48.881,M
2115,62.857,49.984,M
2116,65.997,48.939,M
2121,62.931,47.609,M
2122,63.83,49.545,M
2123,66.769,46.331,M
2124,66.621,48.428,M
2125,63.608,48.268,M
2126,67.671,48.316,M
2131,62.452,46.279,F
2132,61.02,45.063,M
2133,60.18,47.774,M
2134,64.153,48.063,F
2135,62.745,48.343,Not fertile
2136,64.58,48.915,M
2141,65.504,47.657,F
2142,60.045,46.978,M
2143,63.122,47.796,M
2144,62.44,49.306,M
2145,62.715,47.594,M
2146,64.704,49.376,M
2151,64.284,47.634,F
2152,60.563,45.598,M
2153,65.787,48.571,M
2154,64.516,48.587,NR
2155,63.358,47.987,F
2156,62.321,46.846,F
2161,65.855,48.533,M
2162,62.665,47.469,M
2163,65.1,49.587,F
2164,61.045,48.615,F
2165,60.326,46.056,M
2166,62.288,47.983,F
2211,63.926,47.797,F
2212,66.663,49.068,M
2213,64.721,49.971,M
2214,63.34,44.814,M
2215,65.672,50.216,M
2216,64.072,48.48,F
2221,64.45,46.662,M
2222,64.396,48.12,F
2223,63.134,46.818,F
2224,67.553,48.253,M
2225,59.66,48.156,M
2226,62.584,48.717,M
2231,61.365,46.703,M
2232,62.671,47.692,F
2233,66.944,49.399,M
2234,63.21,49.972,M
2235,64.991,50.476,M
2236,61.606,48.327,F
2241,63.966,49.092,M
2242,61.379,48.301,Not fertile
2243,63.523,46.026,F
2244,63.27,47.259,F
2245,62.712,48.414,M
2246,61.264,48.319,F
2251,61.24,47.371,F
2252,62.899,46.84,F
2253,63.802,47.084,M
2254,60.146,45.349,M
2255,61.501,47.514,M
2256,61.88,46.226,M
2261,65.818,50.326,F
2262,61.665,49.19,M
2263,64.322,49.076,F
2264,61.989,47.375,Not fertile
2265,67.138,48.373,M
2266,63.676,48.769,M
