ID,length,imagepath-length,width,imagepath-width,label,L-length,T-length,A-length,E-length,L-width,T-width,A-width,E-width
1111,64.086,200620_055117_0000000011_CAM2_OK.bmp,47.317,200620_055129_0000000012_CAM2_OK.bmp,M,1.13772452,0.707079235,0.13772452,0.414268656,1.127503929,0.715419128,0.127503929,0.397782028
1112,69.633,200620_055203_0000000013_CAM2_OK.bmp,50.663,200620_055213_0000000014_CAM2_OK.bmp,F,1.136488836,0.709009524,0.136488836,0.410418289,1.114151438,0.719806845,0.114151438,0.389261588
1113,64.015,200620_055226_0000000015_CAM2_OK.bmp,49.161,200620_055233_0000000016_CAM2_OK.bmp,F,1.056470277,0.763783006,0.056470277,0.309272387,1.051226278,0.766937182,0.051226278,0.303887754
1114,65.063,200620_055259_0000000017_CAM2_OK.bmp,50.988,200620_055305_0000000018_CAM2_OK.bmp,M,1.081952103,0.77340811,0.081952103,0.292978426,1.055528326,0.779694926,0.055528326,0.282552915
1115,65.331,200620_055323_0000000019_CAM2_OK.bmp,50.357,200620_055328_0000000020_CAM2_OK.bmp,M,1.10845901,0.759696738,0.10845901,0.316314721,1.097969587,0.765501847,0.097969587,0.306332576
1116,64.131,200620_055342_0000000021_CAM2_OK.bmp,48.629,200620_055350_0000000022_CAM2_OK.bmp,F,1.064870278,0.750704261,0.064870278,0.332082488,1.064742965,0.752593545,0.064742965,0.328738477
1121,61.392,200620_055417_0000000023_CAM2_OK.bmp,48.507,200620_055423_0000000024_CAM2_OK.bmp,M,1.077724689,0.783727737,0.077724689,0.27595331,1.080274933,0.787522851,0.080274933,0.269804423
1122,65.004,200620_055505_0000000025_CAM2_OK.bmp,47.612,200620_055511_0000000026_CAM2_OK.bmp,M,1.112095952,0.727291527,0.112095952,0.374964457,1.110180823,0.733007806,0.110180823,0.364241952
1123,64.055,200620_055524_0000000027_CAM2_OK.bmp,48.462,200620_055528_0000000028_CAM2_OK.bmp,M,1.108522953,0.746114751,0.108522953,0.34027641,1.115255748,0.748939305,0.115255748,0.335221683
1124,62.983,200620_055559_0000000029_CAM2_OK.bmp,48.295,200620_055604_0000000030_CAM2_OK.bmp,M,1.075771871,0.762751697,0.075771871,0.311042643,1.082199065,0.76800987,0.082199065,0.3020666
1125,67.672,200620_055622_0000000031_CAM2_OK.bmp,48.039,200620_055626_0000000032_CAM2_OK.bmp,F,1.133980426,0.722966955,0.133980426,0.383189084,1.066139899,0.734784759,0.066139899,0.360942763
1126,63.07,200620_055647_0000000033_CAM2_OK.bmp,47.937,200620_055651_0000000034_CAM2_OK.bmp,M,1.095974832,0.759498127,0.095974832,0.316658941,1.083288341,0.762199279,0.083288341,0.311992844
1131,62.807,200620_055718_0000000035_CAM2_OK.bmp,47.718,200620_055723_0000000036_CAM2_OK.bmp,M,1.09827299,0.749384603,0.09827299,0.33442827,1.098460997,0.751727831,0.098460997,0.330268694
1132,65.594,200620_055734_0000000037_CAM2_OK.bmp,48.792,200620_055738_0000000038_CAM2_OK.bmp,M,1.054006964,0.73760594,0.054006964,0.355737455,1.055789818,0.741273628,0.055789818,0.349029511
1133,61.874,200620_055747_0000000039_CAM2_OK.bmp,48.328,200620_055752_0000000040_CAM2_OK.bmp,M,1.133480607,0.73876495,0.133480607,0.353610509,1.125263972,0.745543821,0.125263972,0.34130278
1134,65.069,200620_055813_0000000041_CAM2_OK.bmp,49.11,200620_055818_0000000042_CAM2_OK.bmp,Not fertile,1.150614367,0.739616319,0.150614367,0.352052373,1.118759324,0.748284881,0.118759324,0.336389422
1135,62.108,200620_055842_0000000043_CAM2_OK.bmp,49.574,200620_055847_0000000044_CAM2_OK.bmp,M,1.05169436,0.793558626,0.05169436,0.260146342,1.050445778,0.794783339,0.050445778,0.258204533
1136,65.513,200620_055859_0000000045_CAM2_OK.bmp,49.542,200620_055904_0000000046_CAM2_OK.bmp,M,1.077621328,0.753098498,0.077621328,0.327847556,1.06157543,0.757314632,0.06157543,0.320455143
1141,63.438,200620_055924_0000000047_CAM2_OK.bmp,48.367,200620_055930_0000000048_CAM2_OK.bmp,M,1.110318173,0.756907976,0.110318173,0.32116457,1.102041925,0.76110295,0.102041925,0.313882701
1142,63.212,200620_055940_0000000049_CAM2_OK.bmp,43.963,200620_055944_0000000050_CAM2_OK.bmp,F,1.084936971,0.736958763,0.084936971,0.356928026,1.100580379,0.742143108,0.100580379,0.347449015
1143,62.006,200620_055956_0000000051_CAM2_OK.bmp,47.23,200620_060002_0000000052_CAM2_OK.bmp,Not fertile,1.101736522,0.754297783,0.101736522,0.325736364,1.122632112,0.759361211,0.122632112,0.316896341
1144,63.299,200620_060028_0000000053_CAM2_OK.bmp,45.321,200620_060031_0000000054_CAM2_OK.bmp,M,1.098739011,0.751545543,0.098739011,0.330591352,1.09689554,0.754727513,0.09689554,0.32498151
